id;name;alias_name;email;website;phone;mobile;representative_name;representative_email;representative_phone;registration_number;organization_type;organization_type_other;organization_tax_category;organization_tax_category_other;established_date;total_employees_number;join_date;subscription_start_date;subscription_end_date;status;is_verified;activated_date;created_date;updated_date;deleted_date;suspended_date
1;Intelligent open-source Kentucky;orchid Bosnia CSS;Mya5@yahoo.com;wireless Soft;51276;54399;functionalities;overriding Rue;22529;Implementation multimedia;SOCIETY;paradigms;OTHER;ADP Avon;2022-04-29;81764;2022-04-29T12:33:36;2022-04-28;2022-04-28;ACTIVE;true;2022-04-29T09:48:28;2022-04-29T06:05:23;2022-04-28T22:32:11;2022-04-28T18:41:45;2022-04-28T20:28:59
2;Account Optimization;virtual Falls;Nathanael46@hotmail.com;Croatia Compatible;91889;52600;Dynamic grey incubate;cross-platform;52010;Yemeni;NON_PROFIT;calculating Washington;PRIVATE;Incredible;2022-04-29;87375;2022-04-29T14:43:58;2022-04-29;2022-04-28;DELETED;true;2022-04-28T16:12:44;2022-04-28T19:03:27;2022-04-28T23:32:00;2022-04-28T21:08:02;2022-04-29T12:15:49
3;1080p;Mouse Guatemala;Anne72@yahoo.com;North Engineer payment;75564;7800;Manager;parsing Roads microchip;44619;Program Rustic driver;MISSIONS;GB hack Planner;PRIVATE;transparent Gloves Assistant;2022-04-29;33866;2022-04-28T20:44:09;2022-04-28;2022-04-29;DELETED;true;2022-04-29T05:09:22;2022-04-29T10:14:18;2022-04-28T22:49:30;2022-04-29T07:24:25;2022-04-28T15:36:57
4;Home;Reverse-engineered;Maddison.Gorczany@hotmail.com;Cambridgeshire;45042;66514;Account;holistic;26819;back-end seize;RELIGIOUS;Oklahoma Distributed deposit;OTHER;SSL;2022-04-29;3852;2022-04-28T18:41:26;2022-04-28;2022-04-29;ACTIVE;false;2022-04-29T09:15:19;2022-04-28T18:17:46;2022-04-28T15:00:16;2022-04-28T22:55:42;2022-04-29T04:53:00
5;online Steel;Buckinghamshire up encompassing;Garfield.Cartwright@hotmail.com;background circuit Brand;37184;92497;Peso;Account;69191;pink Metal;MISSIONS;Credit Alaska SCSI;E80G;bus;2022-04-28;64436;2022-04-29T07:08:24;2022-04-28;2022-04-28;DELETED;false;2022-04-28T21:47:29;2022-04-29T03:19:35;2022-04-28T18:26:47;2022-04-28T18:12:49;2022-04-29T00:36:04
6;interface Oklahoma;payment Checking Graphic;Tiffany_Fisher@yahoo.com;Refined;73955;66358;Ball metrics Senior;Licensed;95178;Money;RELIGIOUS;Centralized;PRIVATE;Concrete;2022-04-29;43598;2022-04-29T12:18:51;2022-04-28;2022-04-28;INACTIVE;true;2022-04-28T17:34:53;2022-04-29T08:47:18;2022-04-28T17:53:12;2022-04-28T21:42:49;2022-04-29T14:50:36
7;global;XSS Granite;Kennedy.Turcotte@gmail.com;Albania Dynamic;80911;29946;Rupee withdrawal;monitor;53584;Mountains Track;NON_PROFIT;SDD;PRIVATE;Krone Granite Stravenue;2022-04-29;36013;2022-04-29T03:52:40;2022-04-29;2022-04-29;INACTIVE;true;2022-04-29T00:11:06;2022-04-28T22:39:42;2022-04-28T21:37:31;2022-04-28T18:58:34;2022-04-29T07:39:05
8;harness;Loan projection seize;Ronaldo51@yahoo.com;Albania;4154;38675;Frozen Republic drive;Handmade Rustic;36496;Borders Avon Turnpike;OTHER;wireless;RELIGIOUS;Keyboard Divide Tools;2022-04-28;89845;2022-04-29T14:38:33;2022-04-29;2022-04-29;ACTIVE;false;2022-04-28T20:30:01;2022-04-28T17:44:23;2022-04-28T22:21:24;2022-04-29T04:15:35;2022-04-29T09:16:32
9;Rhode;Analyst;Jason.Lehner@hotmail.com;Applications;99179;78888;metrics;Assurance;41162;Stand-alone Generic generating;OTHER;Principal;NO_TAX_EXEMPTION;value-added indexing;2022-04-29;94289;2022-04-29T02:33:24;2022-04-29;2022-04-28;SUSPENDED;false;2022-04-28T21:07:28;2022-04-29T06:19:13;2022-04-28T22:25:25;2022-04-29T08:59:27;2022-04-28T21:11:04
10;generate pixel;withdrawal deposit Eritrea;Rafaela.Kshlerin@gmail.com;Account West;75939;48882;mesh;Krona Zloty;51190;Overpass;MISSIONS;integrate monitoring Facilitator;PRIVATE;innovative violet;2022-04-28;51535;2022-04-28T15:30:50;2022-04-29;2022-04-28;DELETED;false;2022-04-28T17:10:38;2022-04-29T13:40:02;2022-04-28T20:47:04;2022-04-29T09:39:53;2022-04-28T19:17:56
